model,primary_failed_part,mileage,age,date,claims_count
Sentra,12V Battery,30249.2,3.92,2025-02-05,1
Sentra,12V Battery,31639.0,3.62,2025-01-27,0
Sentra,12V Battery,29592.3,3.71,2025-06-23,0
Sentra,12V Battery,30353.1,3.74,2025-05-20,0
Sentra,12V Battery,30827.4,3.81,2025-01-23,1
Sentra,12V Battery,29212.6,3.94,2025-06-01,0
Sentra,12V Battery,35517.3,3.96,2025-04-19,0
Sentra,12V Battery,31526.1,3.9,2025-01-09,1
Sentra,12V Battery,29611.8,3.44,2025-01-08,1
Sentra,12V Battery,32391.6,3.64,2025-01-24,1
Sentra,12V Battery,29085.4,3.58,2025-02-25,1
Sentra,12V Battery,29422.4,3.77,2025-03-01,0
Sentra,12V Battery,32092.9,3.91,2025-05-10,1
Sentra,12V Battery,32579.7,3.88,2025-06-04,1
Sentra,12V Battery,30862.2,3.62,2025-01-07,0
Sentra,12V Battery,28833.6,3.95,2025-05-24,1
Sentra,12V Battery,30908.1,3.66,2025-02-20,1
Sentra,12V Battery,33024.7,3.57,2025-06-16,1
Sentra,12V Battery,32486.9,3.8,2025-06-29,1
Sentra,12V Battery,29567.0,3.73,2025-05-20,0
Sentra,12V Battery,32702.3,3.89,2025-04-18,1
Sentra,12V Battery,33517.0,3.8,2025-02-26,1
Sentra,12V Battery,36443.5,3.57,2025-04-25,0
Sentra,12V Battery,30563.6,3.73,2025-05-31,1
Sentra,12V Battery,28973.0,3.93,2025-03-13,0
Leaf,Battery Cable,42931.5,4.25,2025-02-09,0
Leaf,Battery Cable,42765.6,4.6,2025-02-25,0
Leaf,Battery Cable,41938.3,4.06,2025-03-28,1
Leaf,Battery Cable,43651.5,4.24,2025-01-27,1
Leaf,Battery Cable,43268.1,4.46,2025-01-24,1
Leaf,Battery Cable,39471.5,4.52,2025-04-08,1
Leaf,Battery Cable,43335.8,4.1,2025-01-25,1
Leaf,Battery Cable,42090.6,4.28,2025-04-02,0
Leaf,Battery Cable,41509.1,4.41,2025-03-30,1
Leaf,Battery Cable,44439.1,4.23,2025-06-04,0
Leaf,Battery Cable,44218.4,4.44,2025-03-09,1
Leaf,Battery Cable,41941.0,4.27,2025-01-12,1
Leaf,Battery Cable,39070.3,3.91,2025-04-28,0
Leaf,Battery Cable,41801.6,4.05,2025-05-18,0
Leaf,Battery Cable,41377.3,4.12,2025-02-01,0
Leaf,Battery Cable,37752.0,4.31,2025-04-07,0
Leaf,Battery Cable,40600.2,4.25,2025-01-21,1
Leaf,Battery Cable,39608.1,4.16,2025-05-22,1
Leaf,Battery Cable,44694.1,4.26,2025-03-17,0
Leaf,Battery Cable,42598.8,3.96,2025-06-10,0
Leaf,Battery Cable,46411.9,4.62,2025-06-08,0
Leaf,Battery Cable,44285.9,4.41,2025-04-03,0
Leaf,Battery Cable,41490.9,4.32,2025-05-28,0
Leaf,Battery Cable,43632.0,4.1,2025-02-19,0
Leaf,Battery Cable,40538.1,3.88,2025-06-30,1
Leaf,Battery Cable,39859.5,4.58,2025-01-18,0
Leaf,Battery Cable,40766.6,4.16,2025-01-12,0
Leaf,Battery Cable,42118.2,3.89,2025-06-19,1
Leaf,Battery Cable,43419.3,4.5,2025-02-28,0
Leaf,Battery Cable,42241.6,4.58,2025-03-16,1
Leaf,Battery Cable,38709.0,4.62,2025-01-21,1
Leaf,Battery Cable,39944.7,3.96,2025-03-01,0
Leaf,Battery Cable,40967.4,4.63,2025-01-26,0
Leaf,Battery Cable,41419.2,4.03,2025-04-08,0
Leaf,Battery Cable,38775.1,4.21,2025-03-13,0
Leaf,Battery Cable,37324.0,3.96,2025-04-27,0
Leaf,Battery Cable,44658.2,4.51,2025-06-12,1
Leaf,Battery Cable,41193.3,4.13,2025-04-04,0
Leaf,Battery Cable,41580.8,4.73,2025-02-11,0
Leaf,Battery Cable,42299.0,4.42,2025-04-05,0
Leaf,Battery Cable,41039.8,4.24,2025-04-01,1
Leaf,Battery Cable,42801.1,4.26,2025-02-23,0
Leaf,Battery Cable,37526.3,4.5,2025-06-21,0
Leaf,Battery Cable,40184.3,4.68,2025-03-10,0
Leaf,Battery Cable,42883.3,4.25,2025-06-29,1
Leaf,Battery Cable,42370.2,4.21,2025-06-24,0
Leaf,Battery Cable,40451.1,4.27,2025-06-15,1
Leaf,Battery Cable,43294.1,4.13,2025-01-19,1
Leaf,Battery Cable,40169.6,4.15,2025-06-05,0
Leaf,Battery Cable,43433.0,4.54,2025-06-12,1
Leaf,Battery Cable,42209.9,4.35,2025-02-13,0
Leaf,Battery Cable,40154.1,4.42,2025-05-17,1
Leaf,Battery Cable,42603.2,4.08,2025-03-04,1
Leaf,Battery Cable,37753.7,3.97,2025-02-11,0
Leaf,Battery Cable,40072.3,4.48,2025-04-29,0
Leaf,Battery Cable,44678.5,4.14,2025-04-08,1
Leaf,Battery Cable,40613.9,4.29,2025-03-11,0
Leaf,Battery Cable,41484.7,4.43,2025-06-13,0
Leaf,Battery Cable,40374.9,4.43,2025-06-26,0
Leaf,Battery Cable,40963.6,4.41,2025-05-23,1
Leaf,Battery Cable,40897.6,4.1,2025-02-26,1
Leaf,Battery Cable,45423.7,4.46,2025-06-25,0
Leaf,Battery Cable,37744.6,4.14,2025-03-25,0
Leaf,Battery Cable,43957.3,3.98,2025-01-15,0
Leaf,Battery Cable,43057.1,4.37,2025-02-28,1
Leaf,Battery Cable,40010.2,4.23,2025-01-09,0
Leaf,Battery Cable,37126.9,4.6,2025-03-22,1
Leaf,Battery Cable,40818.8,4.4,2025-04-13,0
Leaf,Battery Cable,42732.0,4.52,2025-03-10,1
Leaf,Battery Cable,40561.3,4.27,2025-01-17,0
Leaf,Battery Cable,42618.5,4.41,2025-02-24,0
Leaf,Battery Cable,43852.4,4.13,2025-05-26,0
Leaf,Battery Cable,40082.6,4.52,2025-03-22,1
Leaf,Battery Cable,37236.7,4.56,2025-02-24,1
Leaf,Battery Cable,40832.8,4.23,2025-06-17,0
Leaf,Battery Cable,40045.0,4.22,2025-05-08,1
Leaf,Battery Cable,44094.5,4.39,2025-04-12,1
Leaf,Battery Cable,42480.8,4.25,2025-06-14,0
Leaf,Battery Cable,38462.8,4.05,2025-04-28,0
Leaf,Battery Cable,40748.1,4.33,2025-02-06,0
Leaf,Battery Cable,41603.9,4.44,2025-03-09,0
Leaf,Battery Cable,42441.3,4.24,2025-02-05,1
Leaf,Battery Cable,46177.1,4.32,2025-03-05,1
Leaf,Battery Cable,40564.1,4.62,2025-05-24,1
Leaf,Battery Cable,43947.9,4.61,2025-05-18,0
Leaf,Battery Cable,41229.5,4.44,2025-03-09,0
Leaf,Battery Cable,38447.8,4.4,2025-05-30,1
Leaf,Battery Cable,41132.5,3.94,2025-04-20,1
Leaf,Battery Cable,43600.1,3.85,2025-05-30,1
Leaf,Battery Cable,37494.5,4.31,2025-04-13,1
Leaf,Battery Cable,42643.9,4.44,2025-04-03,1
Leaf,Battery Cable,42997.6,4.54,2025-02-26,0
Leaf,Battery Cable,42911.1,4.2,2025-02-05,0
Leaf,Battery Cable,41306.9,4.17,2025-05-11,1
Leaf,Battery Cable,42072.0,4.0,2025-05-07,1
Leaf,Battery Cable,42166.2,4.21,2025-01-24,0
Leaf,Battery Cable,42030.9,4.29,2025-01-13,0
Leaf,Battery Cable,36376.0,4.04,2025-01-29,1
Leaf,Battery Cable,41234.3,4.22,2025-02-09,0
Leaf,Battery Cable,41997.2,4.29,2025-06-10,0
Leaf,Battery Cable,44602.6,4.3,2025-02-10,0
Leaf,Battery Cable,40810.6,3.89,2025-06-24,1
Leaf,Battery Cable,38622.4,4.34,2025-04-19,1
Leaf,Battery Cable,43657.8,4.56,2025-06-02,0
Leaf,Battery Cable,39743.3,4.17,2025-01-17,1
Leaf,Battery Cable,41961.9,4.66,2025-04-09,0
Leaf,Battery Cable,41697.6,4.56,2025-04-08,0
Leaf,Battery Cable,41811.8,4.47,2025-06-02,1
Leaf,Battery Cable,43587.6,4.27,2025-04-30,1
Leaf,Battery Cable,39344.3,4.17,2025-05-16,1
Leaf,Battery Cable,44546.3,4.42,2025-03-06,1
Leaf,Battery Cable,40560.6,4.16,2025-05-22,1
Leaf,Battery Cable,37871.4,4.54,2025-01-03,0
Leaf,Battery Cable,43296.3,4.2,2025-06-24,0
