model,primary_failed_part,mileage_bucket,age_bucket,date,claims_count
Leaf,Transmission,30-60k,1-3yr,4/13/2025,0
Leaf,Battery,30-60k,<1yr,3/29/2025,0
Leaf,Battery,0-10k,1-3yr,1/22/2025,1
Sentra,Battery,0-10k,1-3yr,4/18/2025,0
Ariya,Battery,10-30k,<1yr,6/16/2025,1
Leaf,Battery,30-60k,1-3yr,1/8/2025,1
Sentra,Battery,30-60k,1-3yr,5/14/2025,1
Sentra,Brake,10-30k,5+yr,4/5/2025,0
Leaf,Battery,0-10k,1-3yr,3/23/2025,0
Ariya,Battery,10-30k,<1yr,3/30/2025,0
Sentra,Battery,0-10k,3-5yr,3/22/2025,0
Sentra,Brake,60k+,3-5yr,1/12/2025,0
Leaf,Battery,10-30k,3-5yr,4/14/2025,0
Sentra,Tire,30-60k,<1yr,5/22/2025,0
Ariya,Brake,0-10k,<1yr,3/4/2025,0
Ariya,Battery,10-30k,1-3yr,1/29/2025,0
Leaf,Battery,0-10k,5+yr,2/14/2025,0
Leaf,Brake,30-60k,1-3yr,4/2/2025,0
Sentra,Battery,10-30k,<1yr,1/3/2025,0
Leaf,Battery,10-30k,5+yr,4/28/2025,0
Ariya,Brake,0-10k,<1yr,1/12/2025,0
Leaf,Battery,10-30k,1-3yr,2/23/2025,1
Leaf,Brake,30-60k,1-3yr,6/9/2025,1
Leaf,Battery,30-60k,1-3yr,4/8/2025,0
Ariya,Battery,30-60k,1-3yr,3/11/2025,0
Leaf,Tire,30-60k,1-3yr,2/21/2025,0
Leaf,Brake,30-60k,1-3yr,6/27/2025,0
Ariya,Brake,0-10k,<1yr,5/20/2025,0
Sentra,Battery,10-30k,3-5yr,5/11/2025,0
Sentra,Transmission,30-60k,1-3yr,4/22/2025,1
Ariya,Battery,0-10k,1-3yr,2/23/2025,0
Leaf,Brake,0-10k,1-3yr,5/16/2025,0
Ariya,Brake,0-10k,1-3yr,4/29/2025,0
Ariya,Transmission,10-30k,1-3yr,4/7/2025,0
Ariya,Battery,30-60k,<1yr,2/4/2025,0
Sentra,Tire,60k+,1-3yr,2/15/2025,0
Sentra,Tire,10-30k,1-3yr,6/10/2025,0
Sentra,Brake,10-30k,<1yr,2/1/2025,0
Leaf,Battery,10-30k,1-3yr,4/14/2025,0
Leaf,Tire,30-60k,3-5yr,1/13/2025,1
Leaf,Brake,0-10k,<1yr,5/24/2025,0
Ariya,Battery,0-10k,5+yr,5/30/2025,0
Leaf,Battery,30-60k,1-3yr,4/11/2025,0
Ariya,Battery,0-10k,1-3yr,2/16/2025,0
Leaf,Battery,60k+,3-5yr,5/27/2025,0
Leaf,Battery,60k+,3-5yr,5/17/2025,0
Leaf,Transmission,10-30k,<1yr,4/28/2025,0
Sentra,Tire,10-30k,1-3yr,3/17/2025,0
Leaf,Battery,10-30k,<1yr,2/16/2025,1
Ariya,Brake,0-10k,1-3yr,1/23/2025,1
Sentra,Tire,10-30k,<1yr,5/27/2025,0
